Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
20,A,h4,4,22,0.10
,,,,,
21,UCS,NA,4,125,1.14
21,GBFS,h1,5,11,0.04
21,GBFS,h2,5,11,0.04
21,GBFS,h3,5,11,0.03
21,GBFS,h4,5,12,0.05
21,A,h1,4,72,0.55
21,A,h2,4,72,0.55
21,A,h3,4,14,0.05
21,A,h4,4,63,0.39
,,,,,
22,UCS,NA,6,2639,486.10
22,GBFS,h1,8,23,0.21
22,GBFS,h2,8,23,0.21
22,GBFS,h3,8,23,0.20
22,GBFS,h4,8,32,0.36
22,A,h1,6,629,42.86
22,A,h2,6,629,42.72
22,A,h3,6,14,0.09
22,A,h4,6,853,70.06
,,,,,
23,UCS,NA,NONE,1,0.00
23,GBFS,h1,NONE,1,0.00
23,GBFS,h2,NONE,1,0.00
23,GBFS,h3,NONE,1,0.00
23,GBFS,h4,NONE,1,0.00
23,A,h1,NONE,1,0.00
23,A,h2,NONE,1,0.00
23,A,h3,NONE,1,0.00
23,A,h4,NONE,1,0.00
,,,,,
24,UCS,NA,2,14,0.12
24,GBFS,h1,11,79,3.95
24,GBFS,h2,11,79,3.93
24,GBFS,h3,11,79,3.88
24,GBFS,h4,3,4,0.01
24,A,h1,2,14,0.10
24,A,h2,2,14,0.12
24,A,h3,2,14,0.14
24,A,h4,2,4,0.02
,,,,,
25,UCS,NA,4,118,2.61
25,GBFS,h1,4,8,0.04
25,GBFS,h2,4,8,0.04
25,GBFS,h3,4,8,0.04
25,GBFS,h4,4,5,0.02
25,A,h1,4,10,0.05
25,A,h2,4,10,0.05
25,A,h3,4,8,0.04
25,A,h4,4,19,0.14
,,,,,
26,UCS,NA,NONE,1,0.00
26,GBFS,h1,NONE,1,0.00
26,GBFS,h2,NONE,1,0.00
26,GBFS,h3,NONE,1,0.00
26,GBFS,h4,NONE,1,0.00
26,A,h1,NONE,1,0.00
26,A,h2,NONE,1,0.00
26,A,h3,NONE,1,0.00
26,A,h4,NONE,1,0.00
,,,,,
27,UCS,NA,3,22,0.17
27,GBFS,h1,6,19,0.20
27,GBFS,h2,6,19,0.19
27,GBFS,h3,6,19,0.20
27,GBFS,h4,3,3,0.01
27,A,h1,3,10,0.06
27,A,h2,3,10,0.05
27,A,h3,3,7,0.03
27,A,h4,3,8,0.04
,,,,,
28,UCS,NA,NONE,140,0.69
28,GBFS,h1,NONE,140,0.65
28,GBFS,h2,NONE,140,0.58
28,GBFS,h3,NONE,140,0.59
28,GBFS,h4,NONE,140,0.62
28,A,h1,NONE,140,0.60
28,A,h2,NONE,140,0.58
28,A,h3,NONE,140,0.61
28,A,h4,NONE,140,0.66
,,,,,
29,UCS,NA,2,8,0.01
29,GBFS,h1,3,7,0.01
29,GBFS,h2,3,7,0.01
29,GBFS,h3,3,7,0.01
29,GBFS,h4,2,2,0.00
29,A,h1,2,5,0.01
29,A,h2,2,5,0.01
29,A,h3,2,5,0.01
29,A,h4,2,2,0.00
,,,,,
30,UCS,NA,5,384,10.34
30,GBFS,h1,6,13,0.06
30,GBFS,h2,6,13,0.05
30,GBFS,h3,6,13,0.06
30,GBFS,h4,6,11,0.05
30,A,h1,5,95,0.93
30,A,h2,5,95,0.95
30,A,h3,6,13,0.05
30,A,h4,5,121,1.36
,,,,,
31,UCS,NA,6,870,39.72
31,GBFS,h1,8,12,0.06
31,GBFS,h2,8,12,0.06
31,GBFS,h3,8,12,0.05
31,GBFS,h4,8,12,0.06
31,A,h1,6,162,2.67
31,A,h2,6,162,2.73
31,A,h3,6,15,0.09
31,A,h4,6,580,20.52
,,,,,
32,UCS,NA,4,88,0.97
32,GBFS,h1,5,11,0.05
32,GBFS,h2,5,11,0.05
32,GBFS,h3,5,11,0.05
32,GBFS,h4,5,7,0.02
32,A,h1,4,24,0.14
32,A,h2,4,24,0.15
32,A,h3,4,12,0.05
32,A,h4,4,69,0.77
,,,,,
33,UCS,NA,2,5,0.01
33,GBFS,h1,2,5,0.01
33,GBFS,h2,2,5,0.01
33,GBFS,h3,2,5,0.01
33,GBFS,h4,2,3,0.00
33,A,h1,2,5,0.01
33,A,h2,2,5,0.01
33,A,h3,2,5,0.01
33,A,h4,2,3,0.00
,,,,,
34,UCS,NA,NONE,820,21.03
34,GBFS,h1,NONE,820,21.12
34,GBFS,h2,NONE,820,21.15
34,GBFS,h3,NONE,820,21.08
34,GBFS,h4,NONE,820,21.27
34,A,h1,NONE,820,20.82
34,A,h2,NONE,820,20.90
34,A,h3,NONE,820,21.24
34,A,h4,NONE,820,20.83
,,,,,
35,UCS,NA,3,29,0.09
35,GBFS,h1,4,8,0.02
35,GBFS,h2,4,8,0.02
35,GBFS,h3,4,8,0.03
35,GBFS,h4,6,12,0.05
35,A,h1,3,12,0.03
35,A,h2,3,9,0.02
35,A,h3,3,9,0.02
35,A,h4,3,11,0.02
,,,,,
36,UCS,NA,5,757,41.75
36,GBFS,h1,8,19,0.25
36,GBFS,h2,8,19,0.15
36,GBFS,h3,8,19,0.16
36,GBFS,h4,7,12,0.07
36,A,h1,5,172,4.24
36,A,h2,5,172,4.41
36,A,h3,5,21,0.17
36,A,h4,5,243,7.22
,,,,,
37,UCS,NA,4,725,68.58
37,GBFS,h1,5,18,0.18
37,GBFS,h2,5,18,0.18
37,GBFS,h3,5,18,0.18
37,GBFS,h4,6,15,0.14
37,A,h1,4,134,4.65
37,A,h2,4,134,4.90
37,A,h3,4,20,0.23
37,A,h4,4,73,1.77
,,,,,
38,UCS,NA,2,15,0.12
38,GBFS,h1,4,18,0.17
38,GBFS,h2,4,18,0.18
38,GBFS,h3,4,18,0.18
38,GBFS,h4,5,29,0.48
38,A,h1,2,15,0.10
38,A,h2,2,15,0.12
38,A,h3,2,15,0.10
38,A,h4,2,13,0.09
,,,,,
39,UCS,NA,3,29,0.13
39,GBFS,h1,3,6,0.01
39,GBFS,h2,3,6,0.01
39,GBFS,h3,3,6,0.01
39,GBFS,h4,7,31,0.17
39,A,h1,3,6,0.01
39,A,h2,3,6,0.02
39,A,h3,3,6,0.02
39,A,h4,3,13,0.04
,,,,,
40,UCS,NA,2,2,0.00
40,GBFS,h1,2,2,0.00
40,GBFS,h2,2,2,0.00
40,GBFS,h3,2,2,0.00
40,GBFS,h4,2,2,0.00
40,A,h1,2,2,0.00
40,A,h2,2,2,0.00
40,A,h3,2,2,0.00
40,A,h4,2,2,0.00
,,,,,
41,UCS,NA,2,13,0.05
41,GBFS,h1,4,14,0.08
41,GBFS,h2,4,14,0.07
41,GBFS,h3,4,14,0.08
41,GBFS,h4,5,13,0.07
41,A,h1,2,13,0.06
41,A,h2,2,13,0.05
41,A,h3,2,13,0.05
41,A,h4,2,5,0.01
,,,,,
42,UCS,NA,2,8,0.05
42,GBFS,h1,9,64,2.09
42,GBFS,h2,9,64,1.79
42,GBFS,h3,9,64,1.81
42,GBFS,h4,2,3,0.01
42,A,h1,2,8,0.05
42,A,h2,2,8,0.04
42,A,h3,2,8,0.04
42,A,h4,2,3,0.01
,,,,,
43,UCS,NA,2,8,0.01
43,GBFS,h1,4,12,0.03
43,GBFS,h2,4,12,0.03
43,GBFS,h3,4,12,0.03
43,GBFS,h4,2,3,0.00
43,A,h1,2,8,0.02
43,A,h2,2,8,0.02
43,A,h3,2,8,0.02
43,A,h4,2,3,0.00
,,,,,
44,UCS,NA,NONE,32,0.05
44,GBFS,h1,NONE,32,0.05
44,GBFS,h2,NONE,32,0.06
44,GBFS,h3,NONE,32,0.06
44,GBFS,h4,NONE,32,0.05
44,A,h1,NONE,32,0.06
44,A,h2,NONE,32,0.06
44,A,h3,NONE,32,0.05
44,A,h4,NONE,32,0.06
,,,,,
45,UCS,NA,NONE,1,0.00
45,GBFS,h1,NONE,1,0.00
45,GBFS,h2,NONE,1,0.00
45,GBFS,h3,NONE,1,0.00
45,GBFS,h4,NONE,1,0.00
45,A,h1,NONE,1,0.00
45,A,h2,NONE,1,0.00
45,A,h3,NONE,1,0.00
45,A,h4,NONE,1,0.00
,,,,,
46,UCS,NA,2,5,0.01
46,GBFS,h1,2,5,0.01
46,GBFS,h2,2,5,0.02
46,GBFS,h3,2,5,0.01
46,GBFS,h4,2,4,0.01
46,A,h1,2,5,0.02
46,A,h2,2,5,0.01
46,A,h3,2,5,0.01
46,A,h4,2,4,0.01
,,,,,
47,UCS,NA,3,18,0.04
47,GBFS,h1,3,4,0.01
47,GBFS,h2,3,4,0.01
47,GBFS,h3,3,4,0.00
47,GBFS,h4,3,4,0.00
47,A,h1,3,12,0.03
47,A,h2,3,12,0.02
47,A,h3,3,4,0.01
47,A,h4,3,8,0.02
,,,,,
48,UCS,NA,4,106,0.57
48,GBFS,h1,4,5,0.01
48,GBFS,h2,4,5,0.01
48,GBFS,h3,4,5,0.02
48,GBFS,h4,7,28,0.11
48,A,h1,4,49,0.22
48,A,h2,4,49,0.20
48,A,h3,4,5,0.01
48,A,h4,4,47,0.17
,,,,,
49,UCS,NA,2,7,0.03
49,GBFS,h1,4,12,0.07
49,GBFS,h2,4,12,0.07
49,GBFS,h3,4,12,0.07
49,GBFS,h4,2,3,0.01
49,A,h1,2,7,0.03
49,A,h2,2,7,0.02
49,A,h3,2,7,0.03
49,A,h4,2,3,0.00
,,,,,
50,UCS,NA,2,4,0.01
50,GBFS,h1,2,4,0.02
50,GBFS,h2,2,4,0.01
50,GBFS,h3,2,4,0.01
50,GBFS,h4,2,4,0.02
50,A,h1,2,4,0.01
50,A,h2,2,4,0.02
50,A,h3,2,4,0.02
50,A,h4,2,4,0.01
Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,NA,3,10,0.02
1,GBFS,h1,4,9,0.02
1,GBFS,h2,4,9,0.02
1,GBFS,h3,4,9,0.02
1,GBFS,h4,3,3,0.00
1,A,h1,3,10,0.02
1,A,h2,3,10,0.02
1,A,h3,3,7,0.01
1,A,h4,3,6,0.01
,,,,,
Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,NA,3,10,0.02
1,GBFS,h1,4,9,0.02
1,GBFS,h2,4,9,0.02
1,GBFS,h3,4,9,0.02
1,GBFS,h4,3,3,0.00
1,A,h1,3,10,0.02
1,A,h2,3,10,0.02
1,A,h3,3,7,0.01
1,A,h4,3,6,0.01
,,,,,
Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,NA,3,10,0.02
1,GBFS,h1,4,9,0.02
1,GBFS,h2,4,9,0.01
1,GBFS,h3,4,9,0.01
1,GBFS,h4,3,3,0.00
1,A,h1,3,10,0.01
1,A,h2,3,10,0.01
1,A,h3,3,7,0.01
1,A,h4,3,6,0.01
,,,,,
2,UCS,NA,11,2143,83.03
2,GBFS,h1,17,260,10.62
2,GBFS,h2,17,260,10.65
2,GBFS,h3,17,260,10.62
2,GBFS,h4,24,1045,68.68
2,A,h1,11,488,6.44
2,A,h2,11,488,6.75
2,A,h3,11,144,0.91
2,A,h4,11,563,6.60
,,,,,
3,UCS,NA,18,5504,52.55
3,GBFS,h1,43,534,9.11
3,GBFS,h2,43,534,8.59
3,GBFS,h3,43,534,8.73
3,GBFS,h4,47,1081,26.75
3,A,h1,18,4465,49.72
3,A,h2,18,4465,50.00
3,A,h3,18,2066,21.14
3,A,h4,18,4887,52.82
,,,,,
4,UCS,NA,NONE,156,0.28
4,GBFS,h1,NONE,156,0.25
4,GBFS,h2,NONE,156,0.40
4,GBFS,h3,NONE,156,0.25
4,GBFS,h4,NONE,156,0.31
4,A,h1,NONE,156,0.38
4,A,h2,NONE,156,0.29
4,A,h3,NONE,156,0.29
4,A,h4,NONE,156,0.28
,,,,,
5,UCS,NA,NONE,353,0.52
5,GBFS,h1,NONE,353,0.82
5,GBFS,h2,NONE,353,0.85
5,GBFS,h3,NONE,353,0.82
5,GBFS,h4,NONE,353,0.71
5,A,h1,NONE,353,0.55
5,A,h2,NONE,353,0.58
5,A,h3,NONE,353,0.57
5,A,h4,NONE,353,0.54
,,,,,
6,UCS,NA,33,757,1.50
6,GBFS,h1,48,313,1.23
6,GBFS,h2,48,313,1.21
6,GBFS,h3,48,313,1.27
6,GBFS,h4,38,233,1.07
6,A,h1,33,629,1.27
6,A,h2,33,629,1.29
6,A,h3,33,528,1.18
6,A,h4,33,670,2.02
Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,NA,3,10,0.02
1,GBFS,h1,4,9,0.01
1,GBFS,h2,4,9,0.01
1,GBFS,h3,4,9,0.01
1,GBFS,h4,3,3,0.00
1,A,h1,3,10,0.01
1,A,h2,3,10,0.01
1,A,h3,3,7,0.01
1,A,h4,3,6,0.01
,,,,,
2,UCS,NA,11,2143,3.18
2,GBFS,h1,17,260,0.40
2,GBFS,h2,17,260,0.43
2,GBFS,h3,17,260,0.40
2,GBFS,h4,24,1045,1.59
2,A,h1,11,488,0.81
2,A,h2,11,488,0.73
2,A,h3,11,144,0.19
2,A,h4,11,563,0.83
,,,,,
3,UCS,NA,18,5504,7.04
3,GBFS,h1,43,534,0.77
3,GBFS,h2,43,534,0.89
3,GBFS,h3,43,534,0.77
3,GBFS,h4,47,1081,1.48
3,A,h1,18,4465,5.91
3,A,h2,18,4465,5.84
3,A,h3,18,2066,2.73
3,A,h4,18,4887,6.65
,,,,,
4,UCS,NA,NONE,156,0.18
4,GBFS,h1,NONE,156,0.21
4,GBFS,h2,NONE,156,0.19
4,GBFS,h3,NONE,156,0.20
4,GBFS,h4,NONE,156,0.21
4,A,h1,NONE,156,0.18
4,A,h2,NONE,156,0.21
4,A,h3,NONE,156,0.18
4,A,h4,NONE,156,0.19
,,,,,
5,UCS,NA,NONE,353,0.55
5,GBFS,h1,NONE,353,0.41
5,GBFS,h2,NONE,353,0.43
5,GBFS,h3,NONE,353,0.44
5,GBFS,h4,NONE,353,0.46
5,A,h1,NONE,353,0.50
5,A,h2,NONE,353,0.44
5,A,h3,NONE,353,0.41
5,A,h4,NONE,353,0.48
,,,,,
6,UCS,NA,33,757,0.83
6,GBFS,h1,48,313,0.36
6,GBFS,h2,48,313,0.34
6,GBFS,h3,48,313,0.34
6,GBFS,h4,38,233,0.29
6,A,h1,33,629,0.70
6,A,h2,33,629,0.72
6,A,h3,33,528,0.60
6,A,h4,33,670,0.77
